model,accuracy,precision,recall,f1_score
Baseline Random Forest,0.626019455635256,0.6198996882201437,0.4874746828696301,0.5457691848669293
Tuned Random Forest,0.6232190232878059,0.6000467508181393,0.5472764097644175,0.572448012488153
