model,accuracy,precision,recall,f1_score
Logistic Regression,0.6202220693721135,0.6450026348146847,0.3914294851295171,0.4871964972800849
Random Forest,0.626019455635256,0.6198996882201437,0.4874746828696301,0.5457691848669293
